Start,Meter,kWh
"11/16/2025 1:15:00 AM","Meter #95175892g","0.00"
"11/16/2025 1:30:00 AM","Meter #95175892","0.30"
"11/16/2025 1:30:00 AM","Meter #95175892g","0.00"
"11/16/2025 1:45:00 AM","Meter #95175892","0.28"
"11/16/2025 1:45:00 AM","Meter #95175892g","0.00"
"11/16/2025 2:00:00 AM","Meter #95175892","0.29"
"11/16/2025 2:00:00 AM","Meter #95175892g","0.00"
"11/16/2025 2:15:00 AM","Meter #95175892","0.26"
"11/16/2025 2:15:00 AM","Meter #95175892g","0.00"
"11/16/2025 2:30:00 AM","Meter #95175892","0.18"
"11/16/2025 2:30:00 AM","Meter #95175892g","0.00"
"11/16/2025 2:45:00 AM","Meter #95175892","0.16"
"11/16/2025 2:45:00 AM","Meter #95175892g","0.00"
"11/16/2025 3:00:00 AM","Meter #95175892","0.15"
"11/16/2025 3:00:00 AM","Meter #95175892g","0.00"
"11/16/2025 3:15:00 AM","Meter #95175892","0.16"
"11/16/2025 3:15:00 AM","Meter #95175892g","0.00"
"11/16/2025 3:30:00 AM","Meter #95175892","0.16"
"11/16/2025 3:30:00 AM","Meter #95175892g","0.00"
"11/16/2025 3:45:00 AM","Meter #95175892","0.15"
"11/16/2025 3:45:00 AM","Meter #95175892g","0.00"
"11/16/2025 4:00:00 AM","Meter #95175892","0.16"
"11/16/2025 4:00:00 AM","Meter #95175892g","0.00"
"11/16/2025 4:15:00 AM","Meter #95175892","0.17"
"11/16/2025 4:15:00 AM","Meter #95175892g","0.00"
"11/16/2025 4:30:00 AM","Meter #95175892","0.17"
"11/16/2025 4:30:00 AM","Meter #95175892g","0.00"
"11/16/2025 4:45:00 AM","Meter #95175892","0.18"
"11/16/2025 4:45:00 AM","Meter #95175892g","0.00"
"11/16/2025 5:00:00 AM","Meter #95175892","0.24"
"11/16/2025 5:00:00 AM","Meter #95175892g","0.00"
"11/16/2025 5:15:00 AM","Meter #95175892","0.36"
"11/16/2025 5:15:00 AM","Meter #95175892g","0.00"
"11/16/2025 5:30:00 AM","Meter #95175892","0.77"
"11/16/2025 5:30:00 AM","Meter #95175892g","0.00"
"11/16/2025 5:45:00 AM","Meter #95175892","0.76"
"11/16/2025 5:45:00 AM","Meter #95175892g","0.00"
"11/16/2025 6:00:00 AM","Meter #95175892","0.51"
"11/16/2025 6:00:00 AM","Meter #95175892g","0.00"
"11/16/2025 6:15:00 AM","Meter #95175892","0.19"
"11/16/2025 6:15:00 AM","Meter #95175892g","0.00"
"11/16/2025 6:30:00 AM","Meter #95175892","0.18"
"11/16/2025 6:30:00 AM","Meter #95175892g","0.00"
"11/16/2025 6:45:00 AM","Meter #95175892","0.18"
"11/16/2025 6:45:00 AM","Meter #95175892g","0.00"
"11/16/2025 7:00:00 AM","Meter #95175892","0.14"
"11/16/2025 7:00:00 AM","Meter #95175892g","0.00"
"11/16/2025 7:15:00 AM","Meter #95175892","0.05"
"11/16/2025 7:15:00 AM","Meter #95175892g","0.00"
"11/16/2025 7:30:00 AM","Meter #95175892","0.07"
"11/16/2025 7:30:00 AM","Meter #95175892g","0.00"
"11/16/2025 7:45:00 AM","Meter #95175892","0.36"
"11/16/2025 7:45:00 AM","Meter #95175892g","-0.00"
"11/16/2025 8:00:00 AM","Meter #95175892","0.61"
"11/16/2025 8:00:00 AM","Meter #95175892g","0.00"
"11/16/2025 8:15:00 AM","Meter #95175892","0.77"
"11/16/2025 8:15:00 AM","Meter #95175892g","0.00"
"11/16/2025 8:30:00 AM","Meter #95175892","0.82"
"11/16/2025 8:30:00 AM","Meter #95175892g","0.00"
"11/16/2025 8:45:00 AM","Meter #95175892","0.40"
"11/16/2025 8:45:00 AM","Meter #95175892g","-0.02"
"11/16/2025 9:00:00 AM","Meter #95175892","0.13"
"11/16/2025 9:00:00 AM","Meter #95175892g","-0.16"
"11/16/2025 9:15:00 AM","Meter #95175892","0.00"
"11/16/2025 9:15:00 AM","Meter #95175892g","-0.28"
"11/16/2025 9:30:00 AM","Meter #95175892","0.00"
"11/16/2025 9:30:00 AM","Meter #95175892g","-0.30"
"11/16/2025 9:45:00 AM","Meter #95175892","0.00"
"11/16/2025 9:45:00 AM","Meter #95175892g","-0.37"
"11/16/2025 10:00:00 AM","Meter #95175892","0.00"
"11/16/2025 10:00:00 AM","Meter #95175892g","-0.89"
"11/16/2025 10:15:00 AM","Meter #95175892","0.00"
"11/16/2025 10:15:00 AM","Meter #95175892g","-0.98"
"11/16/2025 10:30:00 AM","Meter #95175892","0.00"
"11/16/2025 10:30:00 AM","Meter #95175892g","-0.92"
"11/16/2025 10:45:00 AM","Meter #95175892","0.00"
"11/16/2025 10:45:00 AM","Meter #95175892g","-0.80"
"11/16/2025 11:00:00 AM","Meter #95175892","0.00"
"11/16/2025 11:00:00 AM","Meter #95175892g","-0.87"
"11/16/2025 11:15:00 AM","Meter #95175892","0.00"
"11/16/2025 11:15:00 AM","Meter #95175892g","-0.64"
"11/16/2025 11:30:00 AM","Meter #95175892","0.00"
"11/16/2025 11:30:00 AM","Meter #95175892g","-0.42"
"11/16/2025 11:45:00 AM","Meter #95175892","0.06"
"11/16/2025 11:45:00 AM","Meter #95175892g","-0.12"
"11/16/2025 12:00:00 PM","Meter #95175892","0.17"
"11/16/2025 12:00:00 PM","Meter #95175892g","-0.03"
"11/16/2025 12:15:00 PM","Meter #95175892","0.09"
"11/16/2025 12:15:00 PM","Meter #95175892g","-0.10"
"11/16/2025 12:30:00 PM","Meter #95175892","0.03"
"11/16/2025 12:30:00 PM","Meter #95175892g","-0.22"
"11/16/2025 12:45:00 PM","Meter #95175892","0.00"
"11/16/2025 12:45:00 PM","Meter #95175892g","-0.42"
"11/16/2025 1:00:00 PM","Meter #95175892","0.00"
"11/16/2025 1:00:00 PM","Meter #95175892g","-0.37"
"11/16/2025 1:15:00 PM","Meter #95175892","0.00"
"11/16/2025 1:15:00 PM","Meter #95175892g","-0.46"
"11/16/2025 1:30:00 PM","Meter #95175892","0.64"
"11/16/2025 1:30:00 PM","Meter #95175892g","-0.09"
"11/16/2025 1:45:00 PM","Meter #95175892","0.66"
"11/16/2025 1:45:00 PM","Meter #95175892g","0.00"
"11/16/2025 2:00:00 PM","Meter #95175892","0.39"
"11/16/2025 2:00:00 PM","Meter #95175892g","-0.06"
"11/16/2025 2:15:00 PM","Meter #95175892","0.19"
"11/16/2025 2:15:00 PM","Meter #95175892g","-0.09"
"11/16/2025 2:30:00 PM","Meter #95175892","0.14"
"11/16/2025 2:30:00 PM","Meter #95175892g","-0.07"
"11/16/2025 2:45:00 PM","Meter #95175892","0.03"
"11/16/2025 2:45:00 PM","Meter #95175892g","-0.25"
"11/16/2025 3:00:00 PM","Meter #95175892","0.00"
"11/16/2025 3:00:00 PM","Meter #95175892g","-0.55"
"11/16/2025 3:15:00 PM","Meter #95175892","0.00"
"11/16/2025 3:15:00 PM","Meter #95175892g","-0.51"
"11/16/2025 3:30:00 PM","Meter #95175892","0.08"
"11/16/2025 3:30:00 PM","Meter #95175892g","-0.19"
"11/16/2025 3:45:00 PM","Meter #95175892","0.09"
"11/16/2025 3:45:00 PM","Meter #95175892g","-0.01"
"11/16/2025 4:00:00 PM","Meter #95175892","0.22"
"11/16/2025 4:00:00 PM","Meter #95175892g","0.00"
"11/16/2025 4:15:00 PM","Meter #95175892","0.87"
"11/16/2025 4:15:00 PM","Meter #95175892g","0.00"
"11/16/2025 4:30:00 PM","Meter #95175892","0.85"
"11/16/2025 4:30:00 PM","Meter #95175892g","0.00"
"11/16/2025 4:45:00 PM","Meter #95175892","0.83"
"11/16/2025 4:45:00 PM","Meter #95175892g","0.00"
"11/16/2025 5:00:00 PM","Meter #95175892","0.85"
"11/16/2025 5:00:00 PM","Meter #95175892g","0.00"
"11/16/2025 5:15:00 PM","Meter #95175892","0.84"
"11/16/2025 5:15:00 PM","Meter #95175892g","0.00"
"11/16/2025 5:30:00 PM","Meter #95175892","0.88"
"11/16/2025 5:30:00 PM","Meter #95175892g","0.00"
"11/16/2025 5:45:00 PM","Meter #95175892","0.94"
"11/16/2025 5:45:00 PM","Meter #95175892g","0.00"
"11/16/2025 6:00:00 PM","Meter #95175892","0.94"
"11/16/2025 6:00:00 PM","Meter #95175892g","0.00"
"11/16/2025 6:15:00 PM","Meter #95175892","0.96"
"11/16/2025 6:15:00 PM","Meter #95175892g","0.00"
"11/16/2025 6:30:00 PM","Meter #95175892","0.88"
"11/16/2025 6:30:00 PM","Meter #95175892g","0.00"
"11/16/2025 6:45:00 PM","Meter #95175892","0.89"
"11/16/2025 6:45:00 PM","Meter #95175892g","0.00"
"11/16/2025 7:00:00 PM","Meter #95175892","0.89"
"11/16/2025 7:00:00 PM","Meter #95175892g","0.00"
"11/16/2025 7:15:00 PM","Meter #95175892","0.92"
"11/16/2025 7:15:00 PM","Meter #95175892g","0.00"
"11/16/2025 7:30:00 PM","Meter #95175892","0.94"
"11/16/2025 7:30:00 PM","Meter #95175892g","0.00"
"11/16/2025 7:45:00 PM","Meter #95175892","1.05"
"11/16/2025 7:45:00 PM","Meter #95175892g","0.00"
"11/16/2025 8:00:00 PM","Meter #95175892","1.05"
"11/16/2025 8:00:00 PM","Meter #95175892g","0.00"
"11/16/2025 8:15:00 PM","Meter #95175892","1.26"
"11/16/2025 8:15:00 PM","Meter #95175892g","0.00"
"11/16/2025 8:30:00 PM","Meter #95175892","1.22"
"11/16/2025 8:30:00 PM","Meter #95175892g","0.00"
"11/16/2025 8:45:00 PM","Meter #95175892","0.95"
"11/16/2025 8:45:00 PM","Meter #95175892g","0.00"
"11/16/2025 9:00:00 PM","Meter #95175892","1.10"
"11/16/2025 9:00:00 PM","Meter #95175892g","0.00"
"11/16/2025 9:15:00 PM","Meter #95175892","0.33"
"11/16/2025 9:15:00 PM","Meter #95175892g","0.00"
"11/16/2025 9:30:00 PM","Meter #95175892","0.34"
"11/16/2025 9:30:00 PM","Meter #95175892g","0.00"
"11/16/2025 9:45:00 PM","Meter #95175892","0.58"
"11/16/2025 9:45:00 PM","Meter #95175892g","0.00"
"11/16/2025 10:00:00 PM","Meter #95175892","6.67"
"11/16/2025 10:00:00 PM","Meter #95175892g","0.00"
"11/16/2025 10:15:00 PM","Meter #95175892","6.66"
"11/16/2025 10:15:00 PM","Meter #95175892g","0.00"
"11/16/2025 10:30:00 PM","Meter #95175892","6.47"
"11/16/2025 10:30:00 PM","Meter #95175892g","0.00"
"11/16/2025 10:45:00 PM","Meter #95175892","6.27"
"11/16/2025 10:45:00 PM","Meter #95175892g","0.00"
"11/16/2025 11:00:00 PM","Meter #95175892","4.22"
"11/16/2025 11:00:00 PM","Meter #95175892g","0.00"
"11/16/2025 11:15:00 PM","Meter #95175892","4.22"
"11/16/2025 11:15:00 PM","Meter #95175892g","0.00"
"11/16/2025 11:30:00 PM","Meter #95175892","4.08"
"11/16/2025 11:30:00 PM","Meter #95175892g","0.00"
"11/16/2025 11:45:00 PM","Meter #95175892","4.00"
"11/16/2025 11:45:00 PM","Meter #95175892g","0.00"
"11/17/2025 12:00:00 AM","Meter #95175892","3.77"
"11/17/2025 12:00:00 AM","Meter #95175892g","0.00"
"11/17/2025 12:15:00 AM","Meter #95175892","3.78"
"11/17/2025 12:15:00 AM","Meter #95175892g","0.00"
"11/17/2025 12:30:00 AM","Meter #95175892","3.76"
"11/17/2025 12:30:00 AM","Meter #95175892g","0.00"
"11/17/2025 12:45:00 AM","Meter #95175892","3.71"
"11/17/2025 12:45:00 AM","Meter #95175892g","0.00"
"11/17/2025 1:00:00 AM","Meter #95175892","0.91"
"11/17/2025 1:00:00 AM","Meter #95175892g","0.00"
"11/17/2025 1:15:00 AM","Meter #95175892","0.95"
"11/17/2025 1:15:00 AM","Meter #95175892g","0.00"
"11/17/2025 1:30:00 AM","Meter #95175892","0.90"
"11/17/2025 1:30:00 AM","Meter #95175892g","0.00"
"11/17/2025 1:45:00 AM","Meter #95175892","0.91"
"11/17/2025 1:45:00 AM","Meter #95175892g","0.00"
"11/17/2025 2:00:00 AM","Meter #95175892","0.89"
"11/17/2025 2:00:00 AM","Meter #95175892g","0.00"
"11/17/2025 2:15:00 AM","Meter #95175892","0.79"
"11/17/2025 2:15:00 AM","Meter #95175892g","0.00"
"11/17/2025 2:30:00 AM","Meter #95175892","0.78"
"11/17/2025 2:30:00 AM","Meter #95175892g","0.00"
"11/17/2025 2:45:00 AM","Meter #95175892","0.77"
"11/17/2025 2:45:00 AM","Meter #95175892g","0.00"
"11/17/2025 3:00:00 AM","Meter #95175892","0.76"
"11/17/2025 3:00:00 AM","Meter #95175892g","0.00"
"11/17/2025 3:15:00 AM","Meter #95175892","0.77"
"11/17/2025 3:15:00 AM","Meter #95175892g","0.00"
"11/17/2025 3:30:00 AM","Meter #95175892","0.77"
"11/17/2025 3:30:00 AM","Meter #95175892g","0.00"
"11/17/2025 3:45:00 AM","Meter #95175892","0.77"
"11/17/2025 3:45:00 AM","Meter #95175892g","0.00"
"11/17/2025 4:00:00 AM","Meter #95175892","0.79"
"11/17/2025 4:00:00 AM","Meter #95175892g","0.00"
"11/17/2025 4:15:00 AM","Meter #95175892","0.78"
"11/17/2025 4:15:00 AM","Meter #95175892g","0.00"
"11/17/2025 4:30:00 AM","Meter #95175892","0.78"
"11/17/2025 4:30:00 AM","Meter #95175892g","0.00"
"11/17/2025 4:45:00 AM","Meter #95175892","0.79"
"11/17/2025 4:45:00 AM","Meter #95175892g","0.00"
"11/17/2025 5:00:00 AM","Meter #95175892","1.24"
"11/17/2025 5:00:00 AM","Meter #95175892g","0.00"
"11/17/2025 5:15:00 AM","Meter #95175892","2.41"
"11/17/2025 5:15:00 AM","Meter #95175892g","0.00"
"11/17/2025 5:30:00 AM","Meter #95175892","0.19"
"11/17/2025 5:30:00 AM","Meter #95175892g","0.00"
"11/17/2025 5:45:00 AM","Meter #95175892","0.45"
"11/17/2025 5:45:00 AM","Meter #95175892g","0.00"
"11/17/2025 6:00:00 AM","Meter #95175892","0.78"
"11/17/2025 6:00:00 AM","Meter #95175892g","0.00"
"11/17/2025 6:15:00 AM","Meter #95175892","0.78"
"11/17/2025 6:15:00 AM","Meter #95175892g","0.00"
"11/17/2025 6:30:00 AM","Meter #95175892","0.75"
"11/17/2025 6:30:00 AM","Meter #95175892g","0.00"
"11/17/2025 6:45:00 AM","Meter #95175892","0.92"
"11/17/2025 6:45:00 AM","Meter #95175892g","0.00"
"11/17/2025 7:00:00 AM","Meter #95175892","0.89"
"11/17/2025 7:00:00 AM","Meter #95175892g","0.00"
"11/17/2025 7:15:00 AM","Meter #95175892","0.74"
"11/17/2025 7:15:00 AM","Meter #95175892g","0.00"
"11/17/2025 7:30:00 AM","Meter #95175892","0.66"
"11/17/2025 7:30:00 AM","Meter #95175892g","0.00"
"11/17/2025 7:45:00 AM","Meter #95175892","0.57"
"11/17/2025 7:45:00 AM","Meter #95175892g","0.00"
"11/17/2025 8:00:00 AM","Meter #95175892","0.46"
"11/17/2025 8:00:00 AM","Meter #95175892g","0.00"
"11/17/2025 8:15:00 AM","Meter #95175892","0.32"
"11/17/2025 8:15:00 AM","Meter #95175892g","-0.01"
"11/17/2025 8:30:00 AM","Meter #95175892","0.30"
"11/17/2025 8:30:00 AM","Meter #95175892g","-0.02"
"11/17/2025 8:45:00 AM","Meter #95175892","0.24"
"11/17/2025 8:45:00 AM","Meter #95175892g","-0.08"
